source_code,source_description,premise_category,broad_anchor_class
405,CLOTHING STORE,commercial,commercial
406,OTHER STORE,commercial,commercial
407,HARDWARE/BUILDING SUPPLY,built_other,built_other
408,AUTO SUPPLY STORE*,commercial,commercial
409,BEAUTY SUPPLY STORE,commercial,commercial
410,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",commercial,commercial
411,PET STORE,commercial,commercial
412,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",commercial,commercial
413,FURNITURE STORE,commercial,commercial
414,BOOK STORE,commercial,commercial
415,THE GROVE,built_other,built_other
416,THE BEVERLY CENTER,built_other,built_other
417,THE BEVERLY CONNECTION,built_other,built_other
418,,unknown,built_other
501,SINGLE FAMILY DWELLING,residential,residential
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",residential,residential
503,HOTEL,residential,residential
504,OTHER RESIDENCE,residential,residential
505,MOTEL,residential,residential
506,ABANDONED BUILDING ABANDONED HOUSE,built_other,built_other
507,CONDOMINIUM/TOWNHOUSE,residential,residential
508,FRAT HOUSE/SORORITY/DORMITORY,built_other,built_other
509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,built_other,built_other
510,NURSING/CONVALESCENT/RETIREMENT HOME,built_other,built_other
511,PROJECT/TENEMENT/PUBLIC HOUSING,built_other,built_other
512,FOSTER HOME BOYS OR GIRLS*,built_other,built_other
513,ABATEMENT LOCATION,built_other,built_other
514,GROUP HOME,built_other,built_other
515,APARTMENT/CONDO COMMON LAUNDRY ROOM,residential,residential
516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,residential,residential
517,MISSIONS/SHELTERS,built_other,built_other
518,TRANSITIONAL HOUSING/HALFWAY HOUSE,built_other,built_other
519,SHORT-TERM VACATION RENTAL,built_other,built_other
601,SAVINGS & LOAN,built_other,built_other
602,BANK,commercial,commercial
603,CREDIT UNION,built_other,built_other
604,FINANCE COMPANY,built_other,built_other
605,AUTOMATED TELLER MACHINE (ATM),built_other,built_other
606,DRIVE THRU BANKING (WINDOW)*,built_other,built_other
607,BANKING INSIDE MARKET-STORE *,commercial,commercial
608,BANK DROP BOX/MONEY DROP-OUTSIDE OF BANK*,commercial,commercial
701,HOSPITAL,public_institutional,public_institutional
702,OFFICE BUILDING/OFFICE,commercial,commercial
703,ENTERTAINMENT/COMEDY CLUB (OTHER),built_other,built_other
704,ELEMENTARY SCHOOL,public_institutional,public_institutional
705,SLIPS/DOCK/MARINA/BOAT,built_other,built_other
706,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB,commercial,commercial
707,GARAGE/CARPORT,residential,residential
708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),public_institutional,public_institutional
709,PUBLIC RESTROOM(INDOORS-INSIDE),built_other,built_other
710,OTHER PREMISE,built_other,built_other
711,"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*",built_other,built_other
712,COLISEUM,built_other,built_other
713,CONVENTION CENTER,built_other,built_other
714,DODGER STADIUM,built_other,built_other
715,HORSE RACING/SANTA ANITA PARK*,public_institutional,public_institutional
716,THEATRE/MOVIE,commercial,commercial
717,HEALTH SPA/GYM,built_other,built_other
718,MASSAGE PARLOR,built_other,built_other
719,MEDICAL/DENTAL OFFICES,built_other,built_other
720,JUNIOR HIGH SCHOOL,public_institutional,public_institutional
721,HIGH SCHOOL,public_institutional,public_institutional
722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,public_institutional,public_institutional
723,PRIVATE SCHOOL/PRESCHOOL,public_institutional,public_institutional
724,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,public_institutional,public_institutional
725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",public_institutional,public_institutional
726,POLICE FACILITY,public_institutional,public_institutional
727,SHOPPING MALL (COMMON AREA),commercial,commercial
728,ELEVATOR,built_other,built_other
729,SPECIALTY SCHOOL/OTHER,public_institutional,public_institutional
730,SYNAGOGUE/TEMPLE,public_institutional,public_institutional
731,MOSQUE*,public_institutional,public_institutional
732,POST OFFICE,commercial,commercial
733,BAR/SPORTS BAR (OPEN DAY & NIGHT),commercial,commercial
734,HOCKEY RINK/ICE HOCKEY,built_other,built_other
735,NIGHT CLUB (OPEN EVENINGS ONLY),built_other,built_other
736,SKATEBOARD FACILITY/SKATEBOARD PARK*,public_institutional,public_institutional
737,SKATING RINK*,built_other,built_other
738,LIBRARY,public_institutional,public_institutional
739,SPORTS ARENA,built_other,built_other
740,OTHER PLACE OF WORSHIP,built_other,built_other
741,STAPLES CENTER *,built_other,built_other
742,"SPORTS VENUE, OTHER",built_other,built_other
743,MASS GATHERING LOCATION,built_other,built_other
744,HIGH-RISE BUILDING,built_other,built_other
745,WATER FACILITY,built_other,built_other
746,SEWAGE FACILITY/PIPE,built_other,built_other
748,CULTURAL SIGNIFICANCE/MONUMENT,built_other,built_other
750,CYBERSPACE,built_other,built_other
751,WEBSITE,built_other,built_other
752,FIRE STATION,transit,transit
753,DETENTION/JAIL FACILITY,built_other,built_other
754,MUSEUM,built_other,built_other
755,VETERINARIAN/ANIMAL HOSPITAL,public_institutional,public_institutional
756,MUSCLE BEACH,outdoor,outdoor
757,BASKETBALL COURTS,built_other,built_other
758,HANDBALL COURTS,built_other,built_other
801,MTA BUS,transit,transit
802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,transit,transit
803,RETIRED (DUPLICATE) DO NOT USE THIS CODE,built_other,built_other
804,GREYHOUND OR INTERSTATE BUS,transit,transit
805,RETIRED (DUPLICATE) DO NOT USE THIS CODE,built_other,built_other
809,METROLINK TRAIN,transit,transit
810,AMTRAK TRAIN,transit,transit
811,"OTHER RR TRAIN (UNION PAC, SANTE FE ETC",transit,transit
834,LA UNION STATION (NOT LINE SPECIFIC),transit,transit
835,7TH AND METRO CENTER (NOT LINE SPECIFIC),transit,transit
836,HARBOR FRWY STATION (NOT LINE SPECIFIC),transit,transit
868,MTA - ORANGE LINE - NORTH HOLLYWOOD,built_other,built_other
869,MTA - ORANGE LINE - LAUREL CANYON,built_other,built_other
870,MTA - ORANGE LINE - VALLEY COLLEGE,public_institutional,public_institutional
871,MTA - ORANGE LINE - WOODMAN,built_other,built_other
872,MTA - ORANGE LINE - VAN NUYS,built_other,built_other
873,MTA - ORANGE LINE - SEPULVEDA,built_other,built_other
874,MTA - ORANGE LINE - WOODLEY,built_other,built_other
875,MTA - ORANGE LINE - BALBOA,built_other,built_other
876,MTA - ORANGE LINE - RESEDA,built_other,built_other
877,MTA - ORANGE LINE - TAMPA,built_other,built_other
